Frame	Talin	Kindlin	Both		Frame	Time	Talin	Kindlin	Both	Time	Talin	Kindlin	Both
135	0.621603389	0.766381919	0.737270843		135	27	35.6152507	43.91044945	42.24250766	27	33.21043598	41.93637681	41.1303399
136	0.588861936	0.80732062	0.747433102		136	27.2	33.73930365	46.25606425	42.82476222	27.2	33.36909628	43.23228304	41.6386666
137	0.571862382	0.79043911	0.716413958		137	27.4	32.76530094	45.28882499	41.04749617	27.4	33.18795768	43.84924563	41.46131547
138	0.633657583	0.808645646	0.751628111		138	27.6	36.30590519	46.33198266	43.06511852	27.6	34.12334193	44.59406674	41.94245638
139	0.595342457	0.766530415	0.692854859		139	27.8	34.11061015	43.91895767	39.69765924	27.8	34.1195224	44.39153402	41.26901724
140	0.576279041	0.762530277	0.698405393		140	28	33.01835686	43.6897666	40.01568142	28	33.78917274	44.18100379	40.89301649
141	0.643898935	0.729717538	0.775914052		141	28.2	36.89269142	41.80973517	44.45660045	28.2	34.72022834	43.46962321	41.96209168
142	0.592476912	0.710460121	0.706607119		142	28.4	33.9464265	40.70636646	40.48560572	28.4	34.48808779	42.64064618	41.51914589
143	0.670292314	0.745098729	0.737898787		143	28.6	38.40492064	42.69101247	42.27848618	28.6	35.66313764	42.65575607	41.74694798
144	0.659593852	0.785577976	0.768795183		144	28.8	37.7919439	45.01030248	44.04871931	28.8	36.30177952	43.36211999	42.43747938
145	0.608339943	0.797691716	0.782293705		145	29	34.85531125	45.7043687	44.82212763	29	35.86783904	44.0647946	43.15287385
146	0.58834796	0.823975734	0.775568166		146	29.2	33.70985497	47.21033199	44.43678261	29.2	35.22044382	45.00845582	43.53804648
147	0.608077576	0.801696203	0.769174789		147	29.4	34.8402787	45.93380889	44.0704691	29.4	35.10639428	45.28606174	43.69777327
148	0.576252428	0.743017077	0.683864393		148	29.6	33.01683208	42.57174262	39.1825435	29.6	34.47952562	44.47176601	42.34320434
149	0.504892299	0.775602767	0.694241805		149	29.8	28.92819786	44.43876512	39.7771254	29.8	32.81412729	44.46186574	41.57338066
150	0.506890744	0.727250459	0.751936484		150	30	29.04270029	41.66838195	43.08278698	30	31.68269919	43.6238206	42.02620255
151	0.520928643	0.784339752	0.768597761		151	30.2	29.84701265	44.9393575	44.03740783	30.2	31.13199323	44.01848167	42.62956414
152	0.470002527	0.817046097	0.682663668		152	30.4	26.92916115	46.81329305	39.11374699	30.4	29.87114361	44.85692509	41.57481899
153	0.51641121	0.769943506	0.669511004		153	30.6	29.58818285	44.11451333	38.36015486	30.6	29.78625538	44.63420156	40.61041976
154	0.448228248	0.784932591	0.737861803		154	30.8	25.68158684	44.97332465	42.27636718	30.8	28.55485482	44.73593849	41.11020398
155	0.519952491	0.708017385	0.712960456		155	31	29.79108326	40.566408	40.8496251	31	28.92572335	43.48507934	41.03203032
156	0.525886488	0.726166058	0.678934466		156	31.2	30.13107629	41.60625035	38.90007948	31.2	29.28732923	42.92143064	40.39244507
157	0.536128974	0.713168681	0.70087772		157	31.4	30.71792747	40.86155552	40.15733533	31.4	29.7165087	42.30346811	40.32191215
158	0.578483753	0.773238828	0.677776233		158	31.6	33.14467754	44.30332142	38.83371762	31.6	30.74495935	42.9034241	39.87545379
159	0.574972885	0.725015763	0.668604817		159	31.8	32.94351962	41.54034329	38.30823419	31.8	31.40452743	42.49449986	39.40528791
160	0.532815509	0.754845296	0.738916862		160	32	30.52807992	43.24944962	42.33681761	32	31.14159318	42.72098479	40.28474682
161	0.584827533	0.745508075	0.701599497		161	32.2	33.50814939	42.7144663	40.19869008	32.2	31.85156004	42.71902924	40.2589298
162	0.599052261	0.766284371	0.705348379		162	32.4	34.32316627	43.90486036	40.41348521	32.4	32.59304191	43.07477858	40.30529642
163	0.633080813	0.750005805	0.674881068		163	32.6	36.27285868	42.97216722	38.66783686	32.6	33.69698694	43.04399517	39.81405855
164	0.634035977	0.728765877	0.665200253		164	32.8	36.32758555	41.75520903	38.11316705	32.8	34.48616652	42.65735933	39.3037911
165	0.654322877	0.760074218	0.626283896		165	33	37.48993928	43.54904481	35.88342399	33	35.38729835	42.92486497	38.27768097
166	0.591830592	0.730000266	0.687148109		166	33.2	33.9093951	41.82593426	39.37068655	33.2	34.94392737	42.59518576	38.60558264
167	0.620586666	0.751254881	0.723964475		167	33.4	35.55699679	43.043734	41.48010892	33.4	35.1278482	42.72975023	39.46794052
168	0.630820282	0.690308842	0.624067608		168	33.6	36.14333982	39.55178318	35.75644005	33.6	35.43249568	41.77636012	38.35449038
169	0.629830729	0.736665674	0.600797727		169	33.8	36.0866426	42.20783402	34.42317407	33.8	35.62873976	41.90580229	37.17509549
170	0.576435351	0.693496476	0.566949111		170	34	33.02731276	39.73442116	32.48379123	34	34.84831166	41.25438795	35.76770421
171	0.60806664	0.679553935	0.593433081		171	34.2	34.83965211	38.93557243	34.00121095	34.2	34.84571379	40.55874329	35.23775624
172	0.593707005	0.692361519	0.591456998		172	34.4	34.01690565	39.66939296	33.88798973	34.4	34.59707135	40.29193819	34.83282628
173	0.587495151	0.72108428	0.586987711		173	34.6	33.66099264	41.31508594	33.63191847	34.6	34.31624774	40.59888252	34.47255394
174	0.580283738	0.714547281	0.595877099		174	34.8	33.24780911	40.94054349	34.14124287	34.8	33.99571615	40.70138081	34.37316062
175	0.603294885	0.790090413	0.59622961		175	35	34.56625072	45.26884613	34.16144027	35	34.16687652	42.0716204	34.30964451
176	0.633361846	0.750725133	0.508053344		176	35.2	36.2889607	43.01338172	29.10931236	35.2	34.80350177	42.3541488	32.74954487
177	0.606837138	0.743163607	0.539828868		177	35.4	34.76920687	42.58013819	30.9299158	35.4	34.7932133	42.42194561	32.20365615
178	0.632876678	0.775738824	0.580548836		178	35.6	36.26116258	44.44656063	33.26299808	35.6	35.23359809	43.02933012	32.52145873
179	0.560430672	0.738649005	0.501755293		179	35.8	32.11031222	42.32147051	28.74846066	35.8	34.29661232	42.81697224	31.38955931
180	0.602957084	0.679845949	0.5896906		180	36	34.54689614	38.95230358	33.78678262	36	34.37169747	41.65757164	32.1087263
181	0.631421898	0.658547058	0.49833002		181	36.2	36.17780983	37.73196706	28.55220694	36.2	34.91353118	40.47989026	31.04177049
182	0.642918564	0.671165339	0.542580811		182	36.4	36.8365203	38.45494125	31.08759054	36.4	35.49042792	39.87240556	31.05551651
183	0.633979508	0.731148641	0.588046103		183	36.6	36.3243501	41.89173132	33.69255987	36.6	35.74060457	40.47820329	31.84662951
184	0.685824389	0.70829742	0.550058563		184	36.8	39.29484299	40.58245281	31.51603416	36.8	36.8068761	40.50947814	31.74745091
185	0.632204085	0.750514696	0.594284136		185	37	36.22262586	43.00132454	34.0499728	37	36.63160103	41.25703206	32.43820747
186	0.648368271	0.777814108	0.509026523		186	37.2	37.14876551	44.56546565	29.16507142	37.2	36.78675037	42.24956214	31.45626666
187	0.672561571	0.748747616	0.466912772		187	37.4	38.5349395	42.90007833	26.75213125	37.4	37.31120711	42.44471699	30.04502604
188	0.609167537	0.759075034	0.516016831		188	37.6	34.90272887	43.49179581	29.5655866	37.6	36.58866364	42.75884064	29.9011942
189	0.622316577	0.753624958	0.50204423		189	37.8	35.65611338	43.17952946	28.76501553	37.8	36.30889856	42.88504728	29.5603406
190	0.616910464	0.753229285	0.431337923		190	38	35.34636595	43.15685904	24.71384256	38	36.02013878	42.96659081	28.10639119
191	0.626419576	0.735614702	0.490044933		191	38.2	35.89119791	42.14761775	28.07750643	38.2	35.98145651	42.72089889	28.09772576
192	0.594822885	0.734529622	0.433035188		192	38.4	34.08084086	42.08544725	24.81108863	38.4	35.41127182	42.5302634	27.11173462
193	0.597537561	0.769038405	0.402936238		193	38.6	34.23638037	44.06265491	23.08654586	38.6	35.05880438	42.98998085	25.90417799
194	0.569194735	0.774309666	0.367002544		194	38.8	32.61245601	44.36467587	21.02769687	38.8	34.32489987	43.40238936	24.44123366
195	0.516480685	0.775328996	0.324681732		195	39	29.59216346	44.42307921	18.60289296	39	32.90507895	43.70859632	22.68973145
196	0.56360406	0.748940252	0.330223178		196	39.2	32.29213397	42.91111556	18.92039439	39.2	32.72119545	43.46935209	21.55893033
197	0.566071661	0.755421112	0.363541227		197	39.4	32.43351708	43.28244145	20.82937801	39.4	32.63489194	43.4132789	21.34006463
